Player;Pos;Squad;Min;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Expected Assists;Shot-Created Actions;Completed Passes into Penalty Box;Passes Completed %;Key Passes;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Marc Albrighton;W;Leicester City;1746;0.07;0.06;0.23;3.66;2.16;68.8;2.01;1.55;50;2.01;6.65
Paco Alcácer;FW;Villarreal;1544;0.39;0.2;0.19;1.63;0.41;73.5;0.99;0.41;70;0.87;2.67
Pedro Alcalá;CB;Cádiz;909;0.01;0.05;0;0;0;75.6;0;0;0;0;1.58
Thiago Alcántara;CM;Liverpool;1854;0.07;0.06;0.11;2.96;1.31;89.5;1.41;1.36;66.7;0.87;6.55
Rubén Alcaraz;CM;Valladolid;2165;0.07;0.06;0.02;0.91;0.54;83.1;0.37;0.54;59.1;0.83;6.22
Omar Alderete;CB;Hertha BSC;1299;0.03;0.07;0.01;0.42;0.28;81.7;0.14;1.18;77.3;0.07;3.61
Toby Alderweireld;CB;Tottenham;2240;0.03;0.08;0.01;0.76;0.24;83.7;0.28;0.12;100;0.08;2.97
Iván Alejo;W;Cádiz;827;0.11;0.07;0.09;2.17;1.2;56.3;1.2;1.63;57.7;2.28;5.11
Carles Aleñá;CM;Barcelona;48;0;0.02;0;0;0;90.5;0;0;0;4;2
Carles Aleñá;CM;Getafe;1366;0.13;0.06;0.13;3.75;1.45;68.9;1.58;1.18;66.7;1.38;4.14
Rúnar Alex Rúnarsson;GK;Arsenal;16;0;0;0;0;0;63.6;0;0;0;0;0
Trent Alexander-Arnold;FB;Liverpool;3031;0.08;0.05;0.24;3.65;3;75.3;2.17;1.13;56.7;0.62;3.38
Alfon;W;Celta Vigo;34;0;0.05;0.25;2.5;2.5;100;2.5;2.5;50;5;2.5
Mohamed Ali Cho;W;Angers;348;0.36;0.14;0.03;1.28;0.77;63.8;0.51;1.28;35.7;3.08;10
Ezgjan Alioski;FB;Leeds United;2461;0.05;0.06;0.11;2.09;1.17;80.1;0.99;0.55;60;0.77;5.57
Rachid Alioui;FW;Angers;15;0;0;0;0;0;83.3;0;5;100;10;0
Alisson;GK;Liverpool;2970;0;0.1;0;0.15;0;85.2;0;0.09;100;0;0.03
Saturnin Allagbé;GK;Dijon;1080;0;0;0;0;0;65.9;0;0.17;100;0;0
Allan;CM;Everton;2051;0.01;0.03;0.04;1.67;0.66;85.8;0.7;1.23;65.1;0.96;8.38
Dele Alli;AM;Tottenham;620;0.2;0.11;0.13;3.19;1.3;80.1;1.16;1.45;45.5;2.61;8.41
Miguel Almirón;AM;Newcastle Utd;2429;0.12;0.1;0.1;2.3;0.96;81.1;1;1.33;56.3;1.59;4.22
Marcos Alonso;FB;Chelsea;960;0.16;0.08;0.1;3.08;0.75;81.6;1.12;0.65;50;1.31;3.83
Sergio Álvarez;CM;Eibar;1568;0.02;0.05;0.05;0.75;0.11;77.8;0.46;0.34;66.7;0.75;5.57
Yeray Álvarez;CB;Athletic Club;1948;0.02;0.05;0.02;0.56;0.19;84.4;0.23;0.37;80;0.09;2.13
Bruno Alves;CB;Parma;1632;0.02;0.03;0.01;0.39;0.11;86.9;0.11;0.11;50;0.06;2.04
Steven Alzate;CM;Brighton;896;0.07;0.1;0.05;2.5;0.6;89.5;1;0.8;61.5;1.4;5.4
Ibrahim Amadou;CM;Angers;1504;0.13;0.14;0.02;1.5;0.12;86.5;0.36;0.42;70;1.38;6.71
Romain Amalfitano;CM;Dijon;116;0;0.02;0;1.54;0;81;0.77;0.77;100;2.31;1.54
Emmanuel Amankwaa Akurugu;FB;Getafe;45;0;0;0;0;0;66.7;0;0;0;0;2
Daniel Amartey;CM;Leicester City;722;0.05;0.13;0;0.63;0.13;85.8;0;0.13;20;0.38;3
Jordan Amavi;FB;Marseille;813;0.02;0.05;0.03;1.78;0.67;80.5;0.56;1.44;54.2;1.33;1.89
Thierry Ambrose;FW;Metz;753;0.17;0.07;0.18;2.98;1.07;68.8;1.43;2.14;56.3;5;4.64
Wisdom Amey;CB;Bologna;2;0;0;0;0;0;100;0;0;0;0;1
Nadiem Amiri;AM;Leverkusen;1890;0.1;0.05;0.14;3.43;1.29;82.8;1.76;0.86;48.6;1.38;5.19
Ethan Ampadu;CB;Sheffield Utd;2089;0.01;0.05;0.04;0.65;0.69;80.5;0.43;0.39;69.2;0.3;4.35
Sofyan Amrabat;CM;Fiorentina;2441;0.01;0.05;0.02;1.25;0.55;88.8;0.41;1.48;72.7;1.99;5.68
Jon Ander Garrido;CM;Cádiz;800;0.04;0.07;0.01;1.12;0.11;78.6;0.34;0.34;75;0.79;6.63
Joachim Andersen;CB;Fulham;2730;0.04;0.08;0;0.48;0;89.7;0;0.23;100;0.2;2.18
Joachim Andersen;CB;Lyon;192;0.14;0.06;0.02;0.86;0.3;83.4;0.3;0;0;1.9;2.38
Djavan Anderson;W;Lazio;72;0;0;0;0;0;72.7;0;0;0;1.25;1.25
Elliot Anderson;AM;Newcastle Utd;4;0;0;0;0;0;100;0;0;0;0;1
Felipe Anderson;W;West Ham;3;0;0;0;0;0;66.7;0;0;0;0;1
Sebastian Andersson;FW;Köln;1126;0.38;0.12;0.02;0.96;0.24;71.3;0.4;0.32;57.1;1.28;3.12
Nícolas Andrade;GK;Udinese;180;0;0;0;0;0;82.5;0;0;0;0;0
Benjamin André;CM;Lille;2885;0.03;0.06;0.04;1.71;0.37;85.1;0.65;0.87;66.7;1.56;7.38
Robert Andrich;CM;Union Berlin;2526;0.09;0.06;0.08;1.96;0.53;79.1;0.85;0.64;72;0.53;5.87
Victorien Angban;CM;Metz;1672;0.02;0.05;0.03;1.4;0.48;88.5;0.65;1.18;71;1.72;4.73
Ángel;GK;Granada;90;0;0;0;0;0;53.3;0;0;0;0;0
Miguel Ángel Rubio;CB;Valladolid;135;0;0.03;0;0;0;78;0;0;0;0;2.67
José Ángel;FB;Eibar;901;0;0.01;0.09;1.5;1.4;74.7;1;1;83.3;1;3.2
Angeliño;W;RB Leipzig;2161;0.16;0.11;0.21;3.83;2.5;71.1;2.33;0.75;45;0.92;3.96
Davide Angelo Ghislandi;FB;Atalanta;5;0;0;0;0;0;100;0;0;0;0;0
Philip Ankhrah;FW;Hellas Verona;13;0;0;0;0;0;0;0;0;0;0;0
Cristian Ansaldi;FB;Torino;1947;0.04;0.06;0.23;2.82;1.85;67.9;1.62;1.57;54;1.02;3.75
Waldemar Anton;CB;Stuttgart;2711;0.04;0.1;0.01;0.93;0.3;88.1;0.23;0.33;58.8;0.76;3.22
José Antonio Miranda;W;Getafe;26;0.67;0.1;0;3.33;0;56.3;0;0;0;6.67;6.67
Michail Antonio;FW;West Ham;1974;0.52;0.18;0.11;2.97;0.55;66.5;1.05;2.15;58;2.6;2.97
Valentin Antov;CB;Bologna;232;0;0.02;0;0.38;0;89.1;0.38;0.38;100;0;3.08
Houssem Aouar;CM;Lyon;1781;0.44;0.12;0.2;5.1;1.26;84.4;1.87;2.53;58.1;2.73;4.04
Adil Aouchiche;AM;Saint-Étienne;1731;0.17;0.12;0.27;4.9;1.41;71.8;3.02;1.72;53.2;2.34;5.68
Dennis Appiah;FB;Nantes;1556;0.01;0.03;0.06;1.39;0.81;73.6;0.64;0.81;63.6;1.04;5.95
Aritz Arambarri;CB;Real Sociedad;26;0.33;0.14;0;3.33;0;75;0;0;0;0;6.67
Mauro Arambarri;CM;Getafe;2983;0.07;0.05;0.06;1.63;0.79;70.1;0.63;0.94;55.4;0.97;5.77
Charles Aránguiz;CM;Leverkusen;1669;0.04;0.17;0.04;1.68;0.81;86.5;0.81;0.54;76.9;1.08;6.92
Luiz Araújo;W;Lille;1496;0.22;0.07;0.16;3.01;1.39;75.8;1.33;2.53;56.8;2.23;4.34
Néstor Araujo;CB;Celta Vigo;2426;0.01;0.06;0.03;0.3;0.11;85;0.15;0.26;87.5;0.07;2.67
Ronald Araújo;CB;Barcelona;1510;0.1;0.13;0.01;0.54;0;92.4;0.12;0.24;80;0.12;3.51
Anaitz Arbilla;CB;Eibar;2807;0.04;0.05;0.03;0.96;0.48;77.1;0.38;0.9;93.3;0.45;2.31
Alphonse Areola;GK;Fulham;3240;0;0;0;0.03;0;73.6;0;0;0;0;0
Santiago Arias;FB;Leverkusen;90;0;0;0;1;0;85.5;0;0;0;0;5
Karim Aribi;FW;Nîmes;294;0.3;0.11;0.06;2.12;0.3;64.5;0.61;0.91;50;2.12;4.24
Unai Arietaleanizbeaskoa;FW;Eibar;47;0;0.02;0;2;0;57.1;0;0;0;2;4
Nicolò Armini;CB;Lazio;5;0;0;0;0;0;75;0;0;0;0;0
Stuart Armstrong;CM;Southampton;2764;0.1;0.05;0.09;2.67;1.3;79.7;1.11;1.82;57.1;2.28;4.59
Maximilian Arnold;CM;Wolfsburg;2585;0.07;0.04;0.17;3.21;0.91;80.1;1.74;0.49;82.4;1.08;6.48
Toluwalas Arokodare;FW;Köln;112;0.33;0.11;0;0.83;0.83;75;0.83;0.83;100;2.5;5.83
Sergio Arribas;W;Real Madrid;135;0;0.04;0;2.67;2.67;82.6;0.67;3.33;83.3;2;4
Kepa Arrizabalaga;GK;Chelsea;585;0;0;0;0.15;0;81.5;0;0;0;0;0
Tolgay Arslan;CM;Udinese;1818;0.05;0.05;0.01;1.19;0.79;84.5;0.4;1.73;76.1;1.14;6.14
Kwadwo Asamoah;W;Cagliari;224;0.04;0.03;0;0.8;0.8;85.3;0;0;0;0.4;1.6
Santiago Ascacíbar;CM;Hertha BSC;762;0.07;0.08;0.02;1.53;0.47;83.3;0.71;0.71;60;1.18;7.76
Sergio Asenjo;GK;Villarreal;3240;0;0;0;0.08;0;79;0;0;0;0;0
Marco Asensio;W;Real Madrid;1869;0.24;0.12;0.14;3.41;1.83;80.2;1.73;1.83;67.9;1.01;2.21
Kristoffer Askildsen;CM;Sampdoria;95;0;0.01;0;0;0;42.1;0;0.91;100;2.73;4.55
Iago Aspas;FW;Celta Vigo;2864;0.27;0.2;0.26;3.62;1.64;77;1.89;1.82;68.2;1.29;3.11
Roger Assalé;FW;Dijon;828;0.09;0.07;0.07;1.2;0.65;68.9;0.43;1.85;70.8;3.59;3.48
Miguel Atienza;CM;Eibar;838;0.02;0.04;0.01;0.75;0.43;80.4;0.22;0.32;100;0.54;6.99
Youcef Attal;FB;Nice;956;0.06;0.07;0.05;1.89;1.13;80.3;0.47;2.08;50;1.89;3.49
Pierre-Emerick Aubameyang;FW;Arsenal;2332;0.35;0.16;0.11;1.74;1.04;75;0.85;0.46;42.9;0.73;3.2
Emil Audero;GK;Sampdoria;3330;0;0;0.01;0.14;0;69.6;0.03;0;0;0;0.05
Tommaso Augello;FB;Sampdoria;3216;0.01;0.04;0.09;1.37;1.15;76.6;0.81;0.81;51.8;0.67;3.33
Jean-Kévin Augustin;FW;Nantes;36;0;0;0;0;0;100;0;0;0;0;10
Ludwig Augustinsson;FB;Werder Bremen;1957;0.04;0.05;0.13;2.9;1.34;66.8;1.98;0.32;50;0.41;4.52
Serge Aurier;FB;Tottenham;1605;0.08;0.1;0.11;1.91;1.12;80.6;0.67;1.01;51.4;1.12;6.29
Charlie Austin;FW;West Brom;138;0.13;0.07;0;0.67;0;73.5;0;1.33;50;2.67;4.67
Ezequiel Ávila;FW;Osasuna;202;0.32;0.09;0;1.36;1.36;56.1;0;0;0;3.18;1.36
Taiwo Awoniyi;FW;Union Berlin;1359;0.46;0.24;0.1;2.19;0.07;69.1;1.32;1.26;54.3;2.52;4.97
Mehmet-Can Aydin;W;Schalke 04;500;0;0.01;0.09;0.71;0.36;68.5;0.54;0.54;37.5;0.89;4.46
Jordan Ayew;FW;Crystal Palace;2096;0.1;0.09;0.03;1.42;0.6;78.6;0.52;1.93;52.3;3.39;6.82
Kaan Ayhan;CB;Sassuolo;796;0.06;0.1;0;0.34;0.23;91.8;0.11;0.34;75;0.11;3.86
Luke Ayling;FB;Leeds United;3399;0.04;0.06;0.07;1.3;0.93;79.3;0.66;1.01;62.3;0.69;4.95
Ramon Azeez;CM;Granada;101;0.18;0.08;0;0;0;73.7;0;0;0;0.91;4.55
César Azpilicueta;FB;Chelsea;2188;0.03;0.07;0.11;1.73;1.03;87.5;1.07;0.21;50;0.53;4.36
Ludovic Baal;FB;Brest;296;0;0;0.18;2.12;0.61;84.6;0.91;1.82;85.7;0.91;3.94
Carlos Bacca;FW;Villarreal;786;0.4;0.17;0.1;1.49;0.69;67.3;0.69;0.92;47.1;1.95;3.1
Loïc Bade;CB;Lens;2610;0.02;0.06;0.01;0.66;0.1;88.2;0.21;0.72;87.5;0.38;4.03
Milan Badelj;CM;Genoa;2408;0.02;0.03;0.1;1.98;0.86;81.4;1.01;1.08;76.3;1.19;4.74
Édgar Badía;GK;Elche;2700;0;0;0;0.07;0;75.6;0.03;0;0;0;0.03
Alex Baena;W;Villarreal;137;0.07;0.03;0.07;2;0.67;76.4;1.33;0.67;100;3.33;2
Miguel Baeza;AM;Celta Vigo;543;0.25;0.16;0.1;2.33;1;81.6;1;0.17;20;1.83;3.67
Stéphane Bahoken;FW;Angers;1616;0.37;0.12;0.08;1.44;0.44;71.3;0.72;0.78;48.3;2.17;4.11
Leon Bailey;W;Leverkusen;2141;0.29;0.11;0.26;4.12;1.43;70.3;2.1;3.66;56.9;2.02;3.11
Eric Bailly;CB;Manchester Utd;916;0.01;0.05;0;0.29;0;90.3;0;0.49;83.3;0.1;2.16
Stefan Bajic;GK;Saint-Étienne;90;0;0;0;0;0;61.1;0;0;0;0;0
Tiemoué Bakayoko;CM;Napoli;1964;0.05;0.07;0.04;1.61;0.37;90.2;0.5;1.01;81.5;0.92;5.64
Mitchel Bakker;FB;Paris Saint-Germain;1694;0.01;0.1;0.1;1.76;1.22;88.8;0.85;0.69;61.9;0.85;3.56
Ridle Baku;FB;Wolfsburg;2678;0.11;0.1;0.15;2.85;1.54;75;1.44;1.11;51.6;2.01;5.4
