Jonathan David;FW;Lille
Mattia De Sciglio;DF;Lyon
Thibault De Smet;DF;Reims
Lucas Deaux;MFDF;Nîmes
Mathieu Debuchy;DF;Saint-Étienne
Romain Del Castillo;MFFW;Rennes
Thomas Delaine;DF;Metz
Jonathan Delaplace;DF;Lorient
Sacha Delaye;MF;Montpellier
Andy Delort;FW;Montpellier
Moussa Dembélé;FW;Lyon
Jason Denayer;DF;Lyon
Kevin Denkey;FW;Nîmes
Memphis Depay;FW;Lyon
Clément Depres;MF;Nîmes
Ángel Di María;FWMF;Paris Saint-Germain
Boulaye Dia;FWMF;Reims
Abdou Diallo;DF;Paris Saint-Germain
Habib Diallo;FW;Strasbourg
Habib Diallo;FW;Metz
Ibrahima Diallo;MF;Brest
Stéphane Diarra;FWMF;Lorient
Raphael Dias Belloli;FWMF;Rennes
Krepin Diatta;MFDF;Monaco
Tristan Dingomé;MF;Reims
Sinaly Diomande;DF;Lyon
Lois Diony;FW;Angers
Sofiane Diop;MFFW;Monaco
Andy Diouf;FW;Rennes
Yehvann Diouf;GK;Reims
Assane Dioussé;DF;Saint-Étienne
Axel Disasi;DF;Monaco
Tiago Djaló;DF;Lille
Alexander Djiku;DFMF;Strasbourg
Mihai Dobre;FW;Dijon
Jeremy Doku;MFFW;Rennes
Kasper Dolberg;FW;Nice
Keagan Dolly;MF;Montpellier
Anastasios Donis;MF;Reims
Lucas Douath;MF;Saint-Étienne
Cheick Doucouré;MF;Lens
Fodé Doucouré;DF;Reims
Mahamadou Doucouré;FW;Nîmes
Moussa Doumbia;MFFW;Reims
Souleyman Doumbia;DF;Angers
Mouhamadou Drammeh;MF;Reims
Julian Draxler;MFFW;Paris Saint-Germain
Matthieu Dreyer;GK;Lorient
Leo Dubois;DF;Lyon
Haris Duljević;MFFW;Nîmes
Jean-Kevin Duverne;DF;Brest
Eric Junior Dina Ebimbe;FWMF;Dijon
Enzo Ebosse;DF;Angers
Bruno Ecuele Manga;DF;Dijon
Hugo Ekitike;MFFW;Reims
Niclas Eliasson;MFFW;Nîmes
Sepe Elye Wahi;FW;Montpellier
Renaud Emond;FW;Nantes
Yoann Etienne;DF;Lorient
Fábio;DF;Nantes
Cesc Fàbregas;MF;Monaco
Bandiougou Fadiga;FWMF;Paris Saint-Germain
Bandiougou Fadiga;MF;Brest
Wout Faes;DF;Reims
Romain Faivre;MFFW;Brest
Wuilker Faríñez;GK;Lens
Noah Fatar;FWMF;Angers
Julien Faussurier;DF;Brest
Zinedine Ferhat;FWMF;Nîmes
Jordan Ferri;MF;Montpellier
Alexis Flips;MF;Reims
Alessandro Florenzi;DF;Paris Saint-Germain
Mamadou Fofana;MFDF;Metz
Seko Fofana;MF;Lens
Wesley Fofana;DF;Saint-Étienne
Youssouf Fofana;MF;Monaco
Thomas Foket;DF;Reims
Lamine Fomba;MF;Nîmes
Thomas Fontaine;DF;Lorient
José Fonte;DF;Lille
Steven Fortes;DF;Lens
Yassin Fortune;FW;Angers
Angelo Fulgini;MF;Angers
Baptiste Gabard;MF;Saint-Étienne
Idrissa Gana Gueye;MF;Paris Saint-Germain
Ignatius Ganago;FW;Lens
Yann Gboho;MFFW;Rennes
Valère Germain;FW;Marseille
Willem Geubbels;FWMF;Monaco
Andrei Girotto;DFMF;Nantes
Aleksandr Golovin;MFFW;Monaco
Alfred Gomis;GK;Dijon
Alfred Gomis;GK;Rennes
Vagner Gonçalves;FWMF;Metz
Álvaro González;DF;Marseille
Amine Gouiri;FWMF;Nice
Jonathan Gradit;DF;Lens
Andrew Gravillon;DF;Lorient
Adrian Grbić;FW;Lorient
Etienne Green;GK;Saint-Étienne
Clément Grenier;MF;Rennes
Evann Guessand;FW;Nice
Kelyan Guessoum;DF;Nîmes
Lamine Gueye;FWMF;Metz
Pape Gueye;MF;Marseille
Frederic Guilbert;DF;Strasbourg
Bruno Guimarães;MF;Lyon
Sehrou Guirassy;FW;Rennes
Malo Gusto;MF;Lyon
Massadio Haïdara;DF;Lens
Pierre-Yves Hamel;FW;Lorient
Romain Hamouma;FW;Saint-Étienne
Dalbert Henrique;DF;Rennes
Luis Henrique;DFFW;Marseille
Christophe Hérelle;DF;Brest
Jérôme Hergault;DF;Lorient
Ander Herrera;MF;Paris Saint-Germain
Vitorino Hilton;DF;Montpellier
Franck Honorat;MFFW;Brest
Fraser Hornby;FW;Reims
Adrien Hunou;FWMF;Rennes
Didier Ibrahim Ndong;MF;Dijon
Mauro Icardi;FW;Paris Saint-Germain
Jonathan Ikone;MFFW;Lille
Yun Il-lok;MFFW;Montpellier
Corentin Jean;FWMF;Lens
Jesé;FW;Paris Saint-Germain
Stevan Jovetić;FWMF;Monaco
Abdoul Kader Bamba;FWMF;Nantes
Tino Kadewere;FW;Lyon
