Player;Pos;Squad;Min;Expected Assists;Passes Completed %;Completed Passes into Final third;Yards Progressed From Passes;Shot-Created Dribbles;Successful Dribbles;Successful Dribbles %;Successful Pressures;Interceptions;Tackles Won;Fouls Made;Aerial Duels Won %
Ethan Ampadu;CB;Sheffield Utd;2089;0.04;80.5;2.97;237.3;0;0.39;69.2;4.35;1.68;1.55;1.08;68.8
Sofyan Amrabat;CM;Fiorentina;2441;0.02;88.8;4.65;205.4;0.04;1.48;72.7;5.68;0.77;1.55;2.18;30.8
Jon Ander Garrido;CM;Cádiz;800;0.01;78.6;2.47;113.6;0;0.34;75;6.63;1.01;1.69;1.46;39.6
Joachim Andersen;CB;Fulham;2730;0;89.7;3.81;394.8;0;0.23;100;2.18;1.68;0.86;2.38;100
Joachim Andersen;CB;Lyon;192;0.02;83.4;3.99;374.6;0;0;0;2.38;0;0.48;1.29;74.7
Djavan Anderson;W;Lazio;72;0;72.7;0;87.5;0;0;0;1.25;0;0;1.25;100
Elliot Anderson;AM;Newcastle Utd;4;0;100;0;0;0;0;0;1;0;0;0;0
Felipe Anderson;W;West Ham;3;0;66.7;0;28;0;0;0;1;0;1;0;0
Sebastian Andersson;FW;Köln;1126;0.02;71.3;0.88;32;0;0.32;57.1;3.12;0.24;0.16;1.68;54.4
Nícolas Andrade;GK;Udinese;180;0;82.5;0;289;0;0;0;0;0;0;0;0
Benjamin André;CM;Lille;2885;0.04;85.1;6.07;237.4;0.09;0.87;66.7;7.38;1.9;2.71;2.18;56.8
Robert Andrich;CM;Union Berlin;2526;0.08;79.1;3.95;217.5;0.14;0.64;72;5.87;2.06;1.42;1.78;65
Victorien Angban;CM;Metz;1672;0.03;88.5;3.66;197;0;1.18;71;4.73;0.7;1.61;1.56;32.3
Ángel;GK;Granada;90;0;53.3;0;668;0;0;0;0;0;0;0;0
Miguel Ángel Rubio;CB;Valladolid;135;0;78;1.33;214;0;0;0;2.67;0;0.67;1.33;58.8
José Ángel;FB;Eibar;901;0.09;74.7;4.3;423.2;0.1;1;83.3;3.2;1.2;1;0.8;48.6
Angeliño;W;RB Leipzig;2161;0.21;71.1;2.83;303.3;0.25;0.75;45;3.96;1.33;0.75;0.92;36.2
Davide Angelo Ghislandi;FB;Atalanta;5;0;100;0;220;0;0;0;0;0;0;0;0
Philip Ankhrah;FW;Hellas Verona;13;0;0;0;0;0;0;0;0;0;0;0;0
Cristian Ansaldi;FB;Torino;1947;0.23;67.9;2.87;281.1;0.14;1.57;54;3.75;1.25;1.2;1.11;30.4
Waldemar Anton;CB;Stuttgart;2711;0.01;88.1;2.26;432.1;0;0.33;58.8;3.22;1.66;0.76;0.8;57.1
José Antonio Miranda;W;Getafe;26;0;56.3;0;36.7;0;0;0;6.67;3.33;0;6.67;100
Michail Antonio;FW;West Ham;1974;0.11;66.5;1;42.2;0.37;2.15;58;2.97;0.41;0.37;1.28;35.2
Valentin Antov;CB;Bologna;232;0;89.1;1.54;320.8;0;0.38;100;3.08;1.92;1.15;0.77;28.6
Houssem Aouar;CM;Lyon;1781;0.2;84.4;4.39;182.9;0.56;2.53;58.1;4.04;0.81;0.56;1.06;30.4
Adil Aouchiche;AM;Saint-Étienne;1731;0.27;71.8;2.86;188.1;0.05;1.72;53.2;5.68;0.47;1.09;1.04;32.6
Dennis Appiah;FB;Nantes;1556;0.06;73.6;2.89;325.2;0.12;0.81;63.6;5.95;1.21;1.73;0.92;60.8
Aritz Arambarri;CB;Real Sociedad;26;0;75;3.33;486.7;0;0;0;6.67;0;0;0;50
Mauro Arambarri;CM;Getafe;2983;0.06;70.1;2.51;129.8;0.09;0.94;55.4;5.77;1.63;1.72;1.75;47.8
Charles Aránguiz;CM;Leverkusen;1669;0.04;86.5;5.89;293.2;0;0.54;76.9;6.92;1.46;1.57;1.68;36.1
Luiz Araújo;W;Lille;1496;0.16;75.8;2.71;146.8;0.6;2.53;56.8;4.34;0.78;1.33;1.45;28.1
Néstor Araujo;CB;Celta Vigo;2426;0.03;85;3;311.7;0;0.26;87.5;2.67;1.3;0.59;1.11;63.7
Ronald Araújo;CB;Barcelona;1510;0.01;92.4;2.86;265.4;0.06;0.24;80;3.51;0.89;1.31;0.71;77.1
Anaitz Arbilla;CB;Eibar;2807;0.03;77.1;5.06;390;0.13;0.9;93.3;2.31;1.79;0.96;1.22;59.4
Alphonse Areola;GK;Fulham;3240;0;73.6;0.17;334.2;0;0;0;0;0;0.03;0;0
Santiago Arias;FB;Leverkusen;90;0;85.5;3;324;0;0;0;5;0;4;1;0
Karim Aribi;FW;Nîmes;294;0.06;64.5;0;25.5;0;0.91;50;4.24;0;0;0.61;21.2
Unai Arietaleanizbeaskoa;FW;Eibar;47;0;57.1;0;30;0;0;0;4;0;0;6;0
Nicolò Armini;CB;Lazio;5;0;75;10;240;0;0;0;0;0;0;10;0
Stuart Armstrong;CM;Southampton;2764;0.09;79.7;2.93;153.5;0.2;1.82;57.1;4.59;0.98;1.34;1.14;25.8
Maximilian Arnold;CM;Wolfsburg;2585;0.17;80.1;4.6;304.1;0.07;0.49;82.4;6.48;1.43;1.46;1.36;54.1
Toluwalas Arokodare;FW;Köln;112;0;75;1.67;32.5;0;0.83;100;5.83;0;0.83;0.83;45
Sergio Arribas;W;Real Madrid;135;0;82.6;2;211.3;0;3.33;83.3;4;2;0.67;0.67;33.3
Kepa Arrizabalaga;GK;Chelsea;585;0;81.5;0.46;403.4;0;0;0;0;0;0;0.15;0
Tolgay Arslan;CM;Udinese;1818;0.01;84.5;2.77;137.2;0.05;1.73;76.1;6.14;1.04;1.93;1.88;59.1
Kwadwo Asamoah;W;Cagliari;224;0;85.3;3.2;202.8;0;0;0;1.6;2;1.6;0;66.7
Santiago Ascacíbar;CM;Hertha BSC;762;0.02;83.3;3.41;170.6;0.24;0.71;60;7.76;1.29;1.76;1.18;45.8
Sergio Asenjo;GK;Villarreal;3240;0;79;0.31;477.6;0;0;0;0;0;0;0.03;0
Marco Asensio;W;Real Madrid;1869;0.14;80.2;2.16;144.6;0.29;1.83;67.9;2.21;0.72;0.48;0.29;58.8
Kristoffer Askildsen;CM;Sampdoria;95;0;42.1;0.91;62.7;0;0.91;100;4.55;0.91;0.91;2.73;33.3
Iago Aspas;FW;Celta Vigo;2864;0.26;77;1.86;112.9;0.38;1.82;68.2;3.11;0.53;0.19;0.75;26.3
Roger Assalé;FW;Dijon;828;0.07;68.9;0.54;52.1;0.11;1.85;70.8;3.48;0.76;0.76;1.3;29
Miguel Atienza;CM;Eibar;838;0.01;80.4;3.12;100;0;0.32;100;6.99;1.72;2.04;1.08;60.5
Youcef Attal;FB;Nice;956;0.05;80.3;2.26;237.3;0.47;2.08;50;3.49;2.45;2.08;1.7;34.5
Pierre-Emerick Aubameyang;FW;Arsenal;2332;0.11;75;0.69;58.2;0.15;0.46;42.9;3.2;0.23;0.19;0.5;32.6
Emil Audero;GK;Sampdoria;3330;0.01;69.6;0.27;452.8;0;0;0;0.05;0;0;0;0
Tommaso Augello;FB;Sampdoria;3216;0.09;76.6;2.55;313.4;0.06;0.81;51.8;3.33;1.09;0.7;0.36;56.5
Jean-Kévin Augustin;FW;Nantes;36;0;100;0;0;0;0;0;10;0;2.5;2.5;0
Ludwig Augustinsson;FB;Werder Bremen;1957;0.13;66.8;2.07;316.3;0;0.32;50;4.52;0.65;0.78;0.69;63.6
Serge Aurier;FB;Tottenham;1605;0.11;80.6;1.63;290.5;0.22;1.01;51.4;6.29;1.35;2.13;1.29;51.3
Charlie Austin;FW;West Brom;138;0;73.5;0;89.3;0.67;1.33;50;4.67;1.33;2;0;35
Ezequiel Ávila;FW;Osasuna;202;0;56.1;1.82;80;0;0;0;1.36;0.45;0.91;1.82;27.3
Taiwo Awoniyi;FW;Union Berlin;1359;0.1;69.1;0.79;34.7;0.2;1.26;54.3;4.97;0.26;0.4;1.46;27.1
Mehmet-Can Aydin;W;Schalke 04;500;0.09;68.5;1.43;169.3;0;0.54;37.5;4.46;1.79;1.25;1.61;53.8
Jordan Ayew;FW;Crystal Palace;2096;0.03;78.6;0.52;52.5;0.09;1.93;52.3;6.82;1.24;1.42;1.93;22
Kaan Ayhan;CB;Sassuolo;796;0;91.8;3.98;279.7;0;0.34;75;3.86;0.91;1.25;0.91;48.4
Luke Ayling;FB;Leeds United;3399;0.07;79.3;4.68;455.7;0.08;1.01;62.3;4.95;1.53;1.77;0.77;51.5
Ramon Azeez;CM;Granada;101;0;73.7;2.73;42.7;0;0;0;4.55;0;2.73;0.91;80
César Azpilicueta;FB;Chelsea;2188;0.11;87.5;5.35;455.1;0;0.21;50;4.36;1.52;1.28;1.32;54.7
Ludovic Baal;FB;Brest;296;0.18;84.6;9.09;526.4;0;1.82;85.7;3.94;0.61;1.21;1.21;53.3
Carlos Bacca;FW;Villarreal;786;0.1;67.3;1.03;45.1;0.34;0.92;47.1;3.1;0.46;0.8;1.15;38.2
Loïc Bade;CB;Lens;2610;0.01;88.2;3.07;352.4;0.07;0.72;87.5;4.03;1.79;1.31;1.52;66.7
Milan Badelj;CM;Genoa;2408;0.1;81.4;5.19;294.8;0;1.08;76.3;4.74;3.4;1.72;1.31;56.3
Édgar Badía;GK;Elche;2700;0;75.6;0.4;587.3;0;0;0;0.03;0;0;0;0
Alex Baena;W;Villarreal;137;0.07;76.4;2;73.3;0;0.67;100;2;2;0;1.33;0
Miguel Baeza;AM;Celta Vigo;543;0.1;81.6;1.83;112.3;0;0.17;20;3.67;1;0.83;0.83;50
