Kastriot Dermaku;DF;Parma
Kiril Despodov;FW;Cagliari
Mattia Destro;FW;Genoa
Gerard Deulofeu;FW;Udinese
Jacopo Dezi;FWMF;Parma
Samuel Di Carmine;FW;Hellas Verona
Samuel Di Carmine;FW;Crotone
Giovanni Di Lorenzo;DF;Napoli
Alessandro Di Pardo;MFDF;Juventus
Giuseppe Di Serio;FWMF;Benevento
Amad Diallo;MF;Atalanta
Amadou Diambo;FW;Benevento
Amadou Diawara;MF;Roma
Brahim Díaz;MFFW;Milan
Daan Dierckx;DF;Parma
Mitchell Dijks;DF;Bologna
Federico Dimarco;DF;Hellas Verona
Koffi Djidji;DF;Crotone
Berat Djimsiti;DF;Atalanta
Nicolás Domínguez;MF;Bologna
Gianluigi Donnarumma;GK;Milan
Bartłomiej Drągowski;GK;Fiorentina
Denis Drăguș;FWMF;Crotone
Radu Drăgușin;DF;Juventus
Léo Duarte;DF;Milan
Alfred Duncan;MF;Fiorentina
Alfred Duncan;MF;Cagliari
Paulo Dybala;FW;Juventus
Edin Džeko;FW;Roma
Steeve-Mike Ebongue;MF;Genoa
Simone Edera;DFMF;Torino
Albin Ekdal;MF;Sampdoria
Elif Elmas;MFFW;Napoli
Manu Emmanuel Gyabuaa;MF;Atalanta
Alan Empereur;DF;Hellas Verona
Christian Eriksen;MF;Inter
Martin Erlic;DF;Spezia
Gonzalo Escalante;MF;Lazio
Nahuel Estévez;MF;Spezia
Valentin Eysseric;MFFW;Fiorentina
Nicolò Fagioli;MF;Juventus
Iago Falque;MFFW;Benevento
Andri Fannar Baldursson;MF;Bologna
Paolo Faragò;DF;Bologna
Paolo Faragò;DFMF;Cagliari
Davide Faraoni;DF;Hellas Verona
Mohamed Fares;DF;Lazio
Diego Farias;FW;Spezia
Andrea Favilli;FW;Hellas Verona
Federico Fazio;DF;Roma
Luiz Felipe;DF;Lazio
Alex Ferrari;DF;Sampdoria
Salvador Ferrer;DF;Spezia
Marco Festa;GK;Crotone
Fernando Forestieri;FWMF;Udinese
Daam Foulon;DF;Benevento
Gianluca Frabotta;DF;Juventus
Remo Freuler;MF;Atalanta
Daniel Fuzato;GK;Roma
Matteo Gabbia;DF;Milan
Manolo Gabbiadini;FW;Sampdoria
Roberto Gagliardini;MF;Inter
Riccardo Gagliolo;DF;Parma
Adolfo Gaich;FW;Benevento
Andrey Galabinov;FW;Spezia
Manuel Gasparini;GK;Udinese
Gervinho;FW;Parma
Paolo Ghiglione;DFMF;Genoa
Faouzi Ghoulam;DFFW;Napoli
Kamil Glik;DF;Benevento
Diego Godín;DF;Cagliari
Amer Gojak;MFFW;Torino
Edoardo Goldaniga;DF;Genoa
Vladimir Golemić;DF;Crotone
Pierluigi Gollini;GK;Atalanta
Tomislav Gomelt;MF;Crotone
Papu Gómez;FWMF;Atalanta
Robin Gosens;DF;Atalanta
Alberto Grassi;MFDF;Parma
Koray Günter;DF;Hellas Verona
Emmanuel Gyasi;FW;Spezia
Achraf Hakimi;DF;Inter
Samir Handanović;GK;Inter
Lukáš Haraslín;FWMF;Sassuolo
Hans Hateboer;DF;Atalanta
Eduardo Henrique;MF;Crotone
Theo Hernández;DF;Milan
Hernani;MF;Parma
Përparim Hetemaj;MF;Benevento
Aaron Hickey;DF;Bologna
Wesley Hoedt;DF;Lazio
Elseid Hysaj;DF;Napoli
Simone Iacoponi;DF;Parma
Roger Ibanez;DF;Roma
Zlatan Ibrahimović;FW;Milan
Igor;DF;Fiorentina
Ivan Ilić;MF;Hellas Verona
Josip Iličić;FWMF;Atalanta
Ciro Immobile;FW;Lazio
Riccardo Improta;MFDF;Benevento
Roberto Inglese;FW;Parma
