Player;Pos;Squad;Min
Charlie Austin;FW;West Brom;138
Ezequiel Ávila;FW;Osasuna;202
Taiwo Awoniyi;FW;Union Berlin;1359
Mehmet-Can Aydin;W;Schalke 04;500
Jordan Ayew;FW;Crystal Palace;2096
Kaan Ayhan;CB;Sassuolo;796
Luke Ayling;FB;Leeds United;3399
Ramon Azeez;CM;Granada;101
César Azpilicueta;FB;Chelsea;2188
Ludovic Baal;FB;Brest;296
Carlos Bacca;FW;Villarreal;786
Loïc Bade;CB;Lens;2610
Milan Badelj;CM;Genoa;2408
Édgar Badía;GK;Elche;2700
Alex Baena;W;Villarreal;137
Miguel Baeza;AM;Celta Vigo;543
Stéphane Bahoken;FW;Angers;1616
Leon Bailey;W;Leverkusen;2141
Eric Bailly;CB;Manchester Utd;916
Stefan Bajic;GK;Saint-Étienne;90
Tiemoué Bakayoko;CM;Napoli;1964
Mitchel Bakker;FB;Paris Saint-Germain;1694
Ridle Baku;FB;Wolfsburg;2678
Ridle Baku;FB;Mainz 05;180
Dilane Bakwa;FW;Bordeaux;56
Fabián Balbuena;CB;West Ham;1198
Keita Baldé;W;Sampdoria;1197
George Baldock;FB;Sheffield Utd;2787
Gareth Bale;W;Tottenham;920
Mikel Balenziaga;FB;Athletic Club;1689
Leonardo Balerdi;CB;Marseille;1634
Fodé Ballo-Touré;FB;Monaco;662
Botond Balogh;CB;Parma;165
Abdoulaye Bamba;FB;Angers;1347
Jonathan Bamba;W;Lille;2985
Robson Bambu;CB;Nice;1046
Patrick Bamford;FW;Leeds United;3050
Mattia Bani;CB;Genoa;921
Mattia Bani;CB;Parma;1145
Simon Banza;FW;Lens;1372
Antonín Barák;AM;Hellas Verona;2765
Federico Barba;CB;Benevento;2659
Danilo Barbosa;CM;Nice;250
Barcia;CB;Granada;90
Melvin Bard;FB;Lyon;432
Enis Bardhi;W;Levante;1682
Phil Bardsley;FB;Burnley;274
Nicolò Barella;CM;Inter;2896
Philipp Bargfrede;CM;Werder Bremen;27
Kike Barja;W;Osasuna;1433
Ross Barkley;CM;Aston Villa;1531
Ross Barkley;CM;Chelsea;42
Aymen Barkok;AM;Eintracht Frankfurt;977
Ashley Barnes;FW;Burnley;1331
Harvey Barnes;W;Leicester City;1945
Marc Baró;FB;Cádiz;90
Antonio Barragán;FB;Elche;2235
Antonio Barreca;FB;Fiorentina;85
Leandro Barreiro Martins;CM;Mainz 05;2303
Ander Barrenetxea;W;Real Sociedad;1307
Jacob Barrett Laursen;FB;Arminia;1108
Musa Barrow;FW;Bologna;2921
Kyle Bartley;CB;West Brom;2584
Paolo Bartolomei;CM;Spezia;320
Marc Bartra;CB;Betis;1694
Daniele Baselli;CM;Torino;396
Chris Basham;CB;Sheffield Utd;2576
Toma Bašić;CM;Bordeaux;2601
Álvaro Bastida;CM;Cádiz;35
Alessandro Bastoni;CB;Inter;2922
Simone Bastoni;FB;Spezia;1522
Bastos;CB;Lazio;63
Michy Batshuayi;FW;Crystal Palace;728
Rodrigo Battaglia;CM;Alavés;2492
Cristian Battocchio;CM;Brest;355
Oliver Baumann;GK;Hoffenheim;2790
Julian Baumgartlinger;CM;Leverkusen;1072
Christoph Baumgartner;AM;Hoffenheim;2369
Jon Bautista;FW;Real Sociedad;370
Paul Baysse;CB;Bordeaux;2614
Noah Joel Sarenren Bazee;W;Augsburg;36
Ihlas Bebou;W;Hoffenheim;2200
Rodrigo Becão;CB;Udinese;2780
Sheraldo Becker;W;Union Berlin;1106
Timo Becker;CB;Schalke 04;1640
Jan Bednarek;CB;Southampton;3100
Donny van de Beek;CM;Manchester Utd;524
