Player;Pos;Squad;Min;Goals;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Aerial Duels Won;Aerial Duels Won %;Touches Inside Opposition's Penalty Box;Expected Assists;Completed Passes into Penalty Box;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Jean-Eudes Aholou;CM;Strasbourg;2146;0.08;0.08;0.06;1.81;58.9;1.09;0.05;0.29;0.97;62.2;0.97;5.13
Jean-Eudes Aholou;CM;Monaco;36;0;0.25;0.05;2.5;50;5;0;0;0;0;0;2.5
Joseph Aidoo;CB;Celta Vigo;1289;0;0.06;0.09;3.43;53.8;0.77;0.04;0.14;0.35;83.3;0.35;3.85
Ola Aina;FB;Fulham;2664;0.07;0.03;0.07;1.11;43.4;0.71;0.05;0.51;0.71;61.8;0.51;2.2
Rayan Aït Nouri;FB;Wolves;1404;0.06;0.04;0.04;0.95;33.3;1.86;0.19;1.9;2.37;60.7;1.35;4.62
Rayan Aït Nouri;FB;Angers;187;0;0.05;0.08;0.9;40;2.38;0.06;0.9;3.81;80;1.9;5.24
Semi Ajayi;CB;West Brom;2780;0.06;0.04;0.1;2.75;64.9;1.17;0.01;0.13;0.39;66.7;0.42;4.27
Ludovic Ajorque;FW;Strasbourg;2967;0.48;0.38;0.19;5.09;54.7;5.15;0.11;0.67;0.42;51.9;1.09;2.91
Manuel Akanji;CB;Dortmund;2350;0.08;0.07;0.09;1.99;57.8;1.23;0;0.15;0.5;86.7;0.23;3.79
Carlos Akapo;FB;Cádiz;865;0.1;0.04;0.19;1.77;73.9;0.31;0.03;0.52;1.04;83.3;0.52;3.23
Marley Aké;W;Marseille;146;0;0.69;0.27;2.5;40;5;0;0;2.5;57.1;5;1.25
Nathan Aké;CB;Manchester City;797;0.11;0.01;0.04;3.37;63.8;0.56;0;0.22;0;0;0.22;2.81
Paul Akouokou;CM;Betis;378;0;0;0;1.9;50;0;0.1;0.24;0.71;75;0.95;4.76
Jean-Daniel Akpa-Akpro;CM;Lazio;1056;0;0.08;0.07;0.77;50;2.05;0.08;0.68;1.71;74.1;1.45;9.32
Kevin Akpoguma;CB;Hoffenheim;1184;0.08;0.01;0.03;1.74;52.3;0.68;0.03;0.15;0.53;63.6;0.23;4.85
David Alaba;CB;Bayern Munich;2675;0.07;0.04;0.06;0.81;48;0.98;0.08;1.25;0.47;87.5;0.44;4.41
Sofiane Alakouch;FB;Nîmes;1505;0;0.01;0.04;0.6;40;0.84;0.07;0.66;1.32;64.7;1.26;5.21
Jony Álamo;CM;Elche;73;0;0;0.02;0;0;1.25;0;0;1.25;100;2.5;5
Lucas Alario;FW;Leverkusen;1245;0.8;0.36;0.14;2.46;30.9;5.72;0.05;0.29;1.45;76.9;1.59;3.62
Jordi Alba;FB;Barcelona;3025;0.09;0.07;0.09;0.21;33.3;3.66;0.22;2.44;0.51;45.9;0.42;2.89
Luis Alberto;CM;Lazio;2618;0.31;0.18;0.08;0.31;32.1;2.3;0.28;3.06;1.72;60.2;1.75;5.29
