Player;Pos;Squad;Min;Expected Assists;Passes Completed %;Completed Passes into Final third;Yards Progressed From Passes;Shot-Created Dribbles;Successful Dribbles;Successful Dribbles %;Successful Pressures;Interceptions;Tackles Won;Fouls Made;Aerial Duels Won %
Romain Perraud;FB;Brest;3140;0.09;79.6;2.52;312.2;0.11;0.92;54.2;3.98;0.97;1.29;1.32;34.3
Ryan Bertrand;FB;Southampton;2598;0.04;76.8;2.25;258.7;0;0.17;71.4;4.26;1.07;1.49;1;38.6
