Player;Pos;Squad;Min;Save %;Expected Post-Shot xG;Expected Post-Shot xG/Shots on Target;Crosses Stopped %;Passes Launched %
Sergio Herrera;GK;Osasuna;2958;70.5;1.31;0.32;9.1;77.1
Marwin Hitz;GK;Dortmund;1395;66.7;1.02;0.33;7.6;28.3
Timo Horn;GK;Köln;3009;65.1;1.57;0.3;3.3;45.2
Lukáš Hrádecký;GK;Leverkusen;2565;65.9;0.94;0.31;10;35.9
Rune Jarstein;GK;Hertha BSC;720;61.3;1.26;0.28;9.3;51
Sam Johnstone;GK;West Brom;3330;70.6;2.04;0.3;7.2;71.2
Bingourou Kamara;GK;Strasbourg;720;58.1;1.21;0.28;5.2;48.7
Loris Karius;GK;Union Berlin;292;80;0.53;0.35;6.7;56
Eiji Kawashima;GK;Strasbourg;2160;69.2;1.22;0.31;5.9;53.1
Caoimhín Kelleher;GK;Liverpool;180;85.7;1.1;0.32;10.5;31.3
Gregor Kobel;GK;Stuttgart;2970;68.4;1.46;0.28;7.1;29.5
Alban Lafont;GK;Nantes;3420;71.5;1.39;0.27;7.3;53.4
Michael Langer;GK;Schalke 04;239;50;3.22;0.36;0;44
Gautier Larsonneur;GK;Brest;3150;66;1.5;0.29;7.6;37
Jean-Louis Leca;GK;Lens;3313;68;1.28;0.3;6.5;51.8
Benjamin Lecomte;GK;Monaco;2520;61.3;0.69;0.27;5.6;39.3
Jeremías Ledesma;GK;Cádiz;2880;68.6;1.21;0.27;9.9;82.4
Bernd Leno;GK;Arsenal;3131;69.2;1.07;0.31;8.4;22
Karlo Letica;GK;Sampdoria;90;100;0.9;0.9;0;13.8
Hugo Lloris;GK;Tottenham;3420;75.7;1.24;0.28;4.9;46.3
Niklas Lomb;GK;Leverkusen;135;62.5;2.07;0.38;8.3;26.4
Anthony Lopes;GK;Lyon;3420;70.8;1.13;0.3;5.2;32.7
Pau López;GK;Roma;1817;67.9;1.32;0.3;7;28.6
Andreas Luthe;GK;Union Berlin;2768;69.1;1.33;0.31;6.8;40.8
Mike Maignan;GK;Lille;3420;79.4;0.68;0.23;8;34.9
Radosław Majecki;GK;Monaco;90;50;0.3;0.16;0;36
Steve Mandanda;GK;Marseille;3330;66.7;1.16;0.33;7.1;38.1
Niccolò Manfredini;GK;Benevento;90;80;1.6;0.33;23.1;8.3
Vito Mannone;GK;Monaco;810;60;1.32;0.34;4.8;41.2
Federico Marchetti;GK;Genoa;334;42.1;2.16;0.42;0;17.8
Emiliano Martínez;GK;Aston Villa;3420;76.8;1.38;0.27;8.4;52.7
Josep Martinez;GK;RB Leipzig;90;50;2;0.49;0;29.5
Jordi Masip;GK;Valladolid;2250;67.9;1.6;0.32;5.3;64.6
Alex McCarthy;GK;Southampton;2700;63.8;1.6;0.31;9.2;45.8
Edouard Mendy;GK;Rennes;90;0;0.6;0.56;16.7;43.5
Edouard Mendy;GK;Chelsea;2745;70.5;0.79;0.27;6.3;24.5
Alex Meret;GK;Napoli;1980;65.8;1.04;0.28;10.1;18
Illan Meslier;GK;Leeds United;3150;75.1;1.58;0.27;10.6;28.4
Vanja Milinković-Savić;GK;Torino;450;73.7;0.94;0.2;5.9;40.8
Antonio Mirante;GK;Roma;1153;68.5;1.24;0.25;1.8;35.3
Lorenzo Montipò;GK;Benevento;3330;58.8;1.74;0.36;9.6;51.9
Jessy Moulin;GK;Saint-Étienne;2610;62;1.31;0.34;5.9;35.3
Florian Müller;GK;Freiburg;2790;71.1;1.52;0.3;4.9;36.3
